Code,Description,Source URL
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands Incl.: Tuberculosis (of): anus and rectum† (K93.0*) intestine (large)(small)† (K93.0*) retroperitoneal (lymph nodes) Tuberculous: ascites enteritis† (K93.0*) peritonitis† (K67.3*)",https://icd.who.int/browse10/2019/en#/A15-A19
A18.4,"Tuberculosis of skin and subcutaneous tissue Incl.: Erythema induratum, tuberculous Lupus: exedens vulgaris: NOS of eyelid† (H03.1*) Scrofuloderma Excl.: lupus erythematosus (L93.-) lupus erythematosus systemic (M32.-)",https://icd.who.int/browse10/2019/en#/A15-A19
A18.5,Tuberculosis of eye Incl.: Tuberculous: chorioretinitis† (H32.0*) episcleritis† (H19.0*) interstitial keratitis† (H19.2*) iridocyclitis† (H22.0*) keratoconjunctivitis (interstitial)(phlyctenular)† (H19.2*) Excl.: lupus vulgaris of eyelid (A18.4),https://icd.who.int/browse10/2019/en#/A15-A19
A18.6,Tuberculosis of ear Incl.: Tuberculous otitis media† (H67.0*) Excl.: tuberculous mastoiditis (A18.0†),https://icd.who.int/browse10/2019/en#/A15-A19
A18.8,Tuberculosis of other specified organs Incl.: Tuberculosis of: endocardium† (I39.8*) myocardium† (I41.0*) oesophagus† (K23.0*) pericardium† (I32.0*) thyroid gland† (E35.0*) Tuberculous cerebral arteritis† (I68.1*),https://icd.who.int/browse10/2019/en#/A15-A19
A19,Miliary tuberculosis Incl.: tuberculosis: disseminated generalized tuberculous polyserositis,https://icd.who.int/browse10/2019/en#/A15-A19
A19.0,Acute miliary tuberculosis of a single specified site,https://icd.who.int/browse10/2019/en#/A15-A19
A19.1,Acute miliary tuberculosis of multiple sites,https://icd.who.int/browse10/2019/en#/A15-A19
A19.2,"Acute miliary tuberculosis, unspecified",https://icd.who.int/browse10/2019/en#/A15-A19
A19.8,Other miliary tuberculosis,https://icd.who.int/browse10/2019/en#/A15-A19
A19.9,"Miliary tuberculosis, unspecified",https://icd.who.int/browse10/2019/en#/A15-A19
A20-,ICD-10 Version:2016 - English,https://icd.who.int/browse10/2019/en#/A20-A28
A20,Plague Incl.: infection due to Yersinia pestis,https://icd.who.int/browse10/2019/en#/A20-A28
A20.0,Bubonic plague,https://icd.who.int/browse10/2019/en#/A20-A28
A20.1,Cellulocutaneous plague,https://icd.who.int/browse10/2019/en#/A20-A28
A20.2,Pneumonic plague,https://icd.who.int/browse10/2019/en#/A20-A28
A20.3,Plague meningitis,https://icd.who.int/browse10/2019/en#/A20-A28
A20.7,Septicaemic plague,https://icd.who.int/browse10/2019/en#/A20-A28
A20.8,Other forms of plague Incl.: Abortive plague Asymptomatic plague Pestis minor,https://icd.who.int/browse10/2019/en#/A20-A28
A20.9,"Plague, unspecified",https://icd.who.int/browse10/2019/en#/A20-A28
A21,Tularaemia Incl.: deer-fly fever infection due to Francisella tularensis rabbit fever,https://icd.who.int/browse10/2019/en#/A20-A28
A21.0,Ulceroglandular tularaemia,https://icd.who.int/browse10/2019/en#/A20-A28
A21.1,Oculoglandular tularaemia Incl.: Ophthalmic tularaemia,https://icd.who.int/browse10/2019/en#/A20-A28
A21.2,Pulmonary tularaemia,https://icd.who.int/browse10/2019/en#/A20-A28
A21.3,Gastrointestinal tularaemia Incl.: Abdominal tularaemia,https://icd.who.int/browse10/2019/en#/A20-A28
A21.7,Generalized tularaemia,https://icd.who.int/browse10/2019/en#/A20-A28
A21.8,Other forms of tularaemia,https://icd.who.int/browse10/2019/en#/A20-A28
A21.9,"Tularaemia, unspecified",https://icd.who.int/browse10/2019/en#/A20-A28
A22,Anthrax Incl.: infection due to Bacillus anthracis,https://icd.who.int/browse10/2019/en#/A20-A28
A22.0,Cutaneous anthrax Incl.: Malignant: carbuncle pustule,https://icd.who.int/browse10/2019/en#/A20-A28
A22.1,Pulmonary anthrax Incl.: Inhalation anthrax Ragpicker disease Woolsorter disease,https://icd.who.int/browse10/2019/en#/A20-A28
A22.2,Gastrointestinal anthrax,https://icd.who.int/browse10/2019/en#/A20-A28
A22.7,Anthrax sepsis,https://icd.who.int/browse10/2019/en#/A20-A28
A22.8,Other forms of anthrax Incl.: Anthrax meningitis† (G01*),https://icd.who.int/browse10/2019/en#/A20-A28
A22.9,"Anthrax, unspecified",https://icd.who.int/browse10/2019/en#/A20-A28
A23,Brucellosis Incl.: fever: Malta Mediterranean undulant,https://icd.who.int/browse10/2019/en#/A20-A28
A23.0,Brucellosis due to Brucella melitensis,https://icd.who.int/browse10/2019/en#/A20-A28
A23.1,Brucellosis due to Brucella abortus,https://icd.who.int/browse10/2019/en#/A20-A28
A23.2,Brucellosis due to Brucella suis,https://icd.who.int/browse10/2019/en#/A20-A28
A23.3,Brucellosis due to Brucella canis,https://icd.who.int/browse10/2019/en#/A20-A28
A23.8,Other brucellosis,https://icd.who.int/browse10/2019/en#/A20-A28
A23.9,"Brucellosis, unspecified",https://icd.who.int/browse10/2019/en#/A20-A28
A24,Glanders and melioidosis,https://icd.who.int/browse10/2019/en#/A20-A28
A24.0,Glanders Incl.: Infection due to Pseudomonas mallei Infection due to Burkholderia mallei Malleus,https://icd.who.int/browse10/2019/en#/A20-A28
A24.1,Acute and fulminating melioidosis Incl.: Melioidosis: pneumonia sepsis,https://icd.who.int/browse10/2019/en#/A20-A28
A24.2,Subacute and chronic melioidosis,https://icd.who.int/browse10/2019/en#/A20-A28
A24.3,Other melioidosis,https://icd.who.int/browse10/2019/en#/A20-A28
A24.4,"Melioidosis, unspecified Incl.: Infection due to Pseudomonas pseudomallei NOS Infection due to Burkholderia pseudomallei NOS Whitmore disease",https://icd.who.int/browse10/2019/en#/A20-A28
A25,Rat-bite fevers,https://icd.who.int/browse10/2019/en#/A20-A28
